,x,x_5,x_4,x_3,x_2,x_1,label,cites,author,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,citation,screened_titles,notes,screened_abstracts
31,68,68,68,1819,1819,1819,ref_007,0,"Y Lawal, F Bello and FE Anumah and AG Bakari",Prevalence and determinants of glucose intolerance in a Northern Nigerian population: Role of insulin resistance,2019,Nigerian Journal of Basic and …,njbcs.net,https://www.njbcs.net/article.asp?issn=0331-8540;year=2019;volume=16;issue=2;spage=83;epage=89;aulast=Lawal,,7,31/07/2021 6:50,HTML,,NA,NA,NA,NA,NA,NA,0,0,0,4,2,"… The WHO criteria was used in the diagnosis of impaired fasting glucose (FPG ≥ 6.1 mmol/L), impaired glucose tolerance (2hrPPG ≥ 7.8 mmol/L), and DM … Anthropometric correlates of insulin resistance: A study of healthy Nigerian adults in Maiduguri, Northeastern Nigeria …",https://www.njbcs.net/article.asp?issn=0331-8540;year=2019;volume=16;issue=2;spage=83;epage=89;aulast=Lawal,"https://scholar.google.com/scholar?q=related:hYl4M9GeSEQJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1","Y Lawal, F Bello et al. (2019) Prevalence and Determinants of Glucose Intolerance in a Northern Nigerian Population: Role of Insulin Resistance. <i>Nigerian Journal of Basic and �</i>. ",selected,NA,selected
32,69,69,69,1826,1826,1826,ref_023,5,"RNB Ayogu, C Nwajuaku and EA Udenta",Components and risk factors of metabolic syndrome among rural Nigerian workers,2019,Nigerian medical journal …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6688396/,"https://scholar.google.com/scholar?cites=4109762585323526258&as_sdt=2005&sciodt=0,5&hl=en",23,31/07/2021 9:58,HTML,,NA,NA,NA,NA,NA,NA,5,2.5,2,3,2,"… In Nigeria, noncommunicable diseases such as diabetes and CVDs have become public health issues … of late identification of MetS as it is not often the habit of most Nigerians to go for … Working hours for most Nigerian workers commence at the 8 th h with likelihood of skipping …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6688396/,"https://scholar.google.com/scholar?q=related:clhmAUzPCDkJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1","RNB Ayogu, C Nwajuaku et al. (2019) Components and Risk Factors of Metabolic Syndrome among Rural Nigerian Workers. <i>Nigerian Medical Journal �</i>. ",selected,NA,selected
33,70,70,70,1827,1827,1827,ref_008,0,H Tanimu and AD Paul,"Investigation of the Occurrence of Abnormal Oral Glucose Tolerance (OGT) Level among People of Nasarawa State Polytechnic, Lafia",2019,Current Research in Diabetes & Obesity …,researchgate.net,https://www.researchgate.net/profile/Habibu-Tanimu/publication/333981298_Investigation_of_the_Occurrence_of_Abnormal_Oral_Glucose_Tolerance_OGT_Level_among_People_of_Nasarawa_State_Polytechnic_Lafia/links/5d10cbeaa6fdcc2462a0825d/Investigation-of-the-Occurrence-of-Abnormal-Oral-Glucose-Tolerance-OGT-Level-among-People-of-Nasarawa-State-Polytechnic-Lafia.pdf,,8,31/07/2021 6:50,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,2,2,"… of our medical laboratories even in the tertiary health facilities in Nigeria. This also indicate that some early onset of diabetes might not be detected by fasting glucose level alone. Conclusion The findings in this research showed that, impaired glucose tolerance was present in …",https://www.researchgate.net/profile/Habibu-Tanimu/publication/333981298_Investigation_of_the_Occurrence_of_Abnormal_Oral_Glucose_Tolerance_OGT_Level_among_People_of_Nasarawa_State_Polytechnic_Lafia/links/5d10cbeaa6fdcc2462a0825d/Investigation-of-the-Occurrence-of-Abnormal-Oral-Glucose-Tolerance-OGT-Level-among-People-of-Nasarawa-State-Polytechnic-Lafia.pdf,"https://scholar.google.com/scholar?q=related:KMC-RUb9suoJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1","H Tanimu et al. (2019) Investigation of the Occurrence of Abnormal Oral Glucose Tolerance (Ogt) Level among People of Nasarawa State Polytechnic, Lafia. <i>Current Research in Diabetes & Obesity �</i>. ",selected,NA,selected
34,71,71,71,1839,1839,1839,ref_012,0,CB Nwatu and EE Young and BM Onyenekwe…,Association of short sleep duration with cardiometabolic risk factors in a population of rural Nigerian women: A cross-sectional study,2020,… Journal of Medicine …,researchgate.net,https://www.researchgate.net/profile/Chidimma-Nwatu/publication/343308757_Association_of_short_sleep_duration_with_cardiometabolic_risk_factors_in_a_population_of_rural_Nigerian_women_A_cross-sectional_study/links/5f566dba299bf13a31aae8fc/Association-of-short-sleep-duration-with-cardiometabolic-risk-factors-in-a-population-of-rural-Nigerian-women-A-cross-sectional-study.pdf,,12,31/07/2021 7:13,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,4,1,"… of less than 7 h in a study conducted in urban-dwelling Nigerian women.[9 … Prediabetes, which consists of impaired fasting glucose (IFG) and impaired glucose tolerance (IGT), predates … and myocardial infarction.[14] In a rural community in Enugu State, Nigeria, the prevalence of …",https://www.researchgate.net/profile/Chidimma-Nwatu/publication/343308757_Association_of_short_sleep_duration_with_cardiometabolic_risk_factors_in_a_population_of_rural_Nigerian_women_A_cross-sectional_study/links/5f566dba299bf13a31aae8fc/Association-of-short-sleep-duration-with-cardiometabolic-risk-factors-in-a-population-of-rural-Nigerian-women-A-cross-sectional-study.pdf,"https://scholar.google.com/scholar?q=related:fwkzxWVcDLwJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1",CB Nwatu et al. (2020) Association of Short Sleep Duration with Cardiometabolic Risk Factors in a Population of Rural Nigerian Women: a Cross-Sectional Study. <i>� Journal of Medicine �</i>. ,selected,NA,selected
35,73,73,73,1842,1842,1842,ref_005,2,"Y Lawal, S Muhammad and UF Dahuwa, I Bichi…",Screening for obesity and undiscovered glucose intolerance among employees of a tertiary health center in northeast Nigeria,2019,Journal of Health …,jhrr.org,https://www.jhrr.org/article.asp?issn=2394-2010;year=2019;volume=6;issue=3;spage=107;epage=113;aulast=Lawal,"https://scholar.google.com/scholar?cites=283517127148614187&as_sdt=2005&sciodt=0,5&hl=en",5,31/07/2021 6:50,HTML,,NA,NA,NA,NA,NA,NA,2,1,0,5,2,… level ranging from prediabetes (impaired fasting glucose [IFG] and/or impaired glucose tolerance [IGT]) to … Obesity among health service providers in Nigeria: Danger to long term health worker … and anthropometric correlates of casual blood glucose in a rural Nigerian community …,https://www.jhrr.org/article.asp?issn=2394-2010;year=2019;volume=6;issue=3;spage=107;epage=113;aulast=Lawal,"https://scholar.google.com/scholar?q=related:K7JuM1NB7wMJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1","Y Lawal, S Muhammad et al. (2019) Screening for Obesity and Undiscovered Glucose Intolerance among Employees of a Tertiary Health Center in Northeast Nigeria. <i>Journal of Health �</i>. ",selected,NA,selected
36,74,74,74,1843,1843,1843,ref_048,3,OU Onyemelukwe and AA Mamza…,"Prevalence of pre-diabetes, diabetes and associated cardiovascular risk amongst healthcare workers in ahmadu bello university teaching hospital (ABUTH) …",2020,West African journal …,researchgate.net,https://www.researchgate.net/profile/Obiageli-Onyemelukwe/publication/341234552_wajmPREVALENCE_OF_PRE-DIABETES_DIABETES_AND_ASSOCIATED_CARDIOVASCULAR_RISK/links/5eb53e97a6fdcc1f1dc86076/wajmPREVALENCE-OF-PRE-DIABETES-DIABETES-AND-ASSOCIATED-CARDIOVASCULAR-RISK.pdf,"https://scholar.google.com/scholar?cites=15044184902872922066&as_sdt=2005&sciodt=0,5&hl=en",48,31/07/2021 7:13,PDF,,NA,NA,NA,NA,NA,NA,3,3,1,3,1,"… as presence of impaired fasting glucose (IFG) (100–125 mg/dL) and/or impaired glucose tolerance (IGT) (140 … 2017 to 40.7 million by 2045 with 69.2% being undiagnosed.1 In Nigeria, recent meta … 531.6 million) by 2045.1 Li ewise, about 7.7 million adult Nigerians were reported …",https://www.researchgate.net/profile/Obiageli-Onyemelukwe/publication/341234552_wajmPREVALENCE_OF_PRE-DIABETES_DIABETES_AND_ASSOCIATED_CARDIOVASCULAR_RISK/links/5eb53e97a6fdcc1f1dc86076/wajmPREVALENCE-OF-PRE-DIABETES-DIABETES-AND-ASSOCIATED-CARDIOVASCULAR-RISK.pdf,"https://scholar.google.com/scholar?q=related:0vcIL3aux9AJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2021&as_vis=1","OU Onyemelukwe et al. (2020) Prevalence of Pre-Diabetes, Diabetes and Associated Cardiovascular Risk Amongst Healthcare Workers in Ahmadu Bello University Teaching Hospital (Abuth) � <i>West African Journal �</i>. ",selected,NA,selected
37,79,79,79,1861,1861,1861,ref_058,1,AC Nnamudi and NEJ Orhue and II Ijeh and OE Etim…,"Obesity, Metabolic Abnormalities, Metabolic Syndrome and BMI-Metabolic-Risk Sub-Phenotypes among Young Adult Nigerians",2020,Haya: Saudi J Life …,saudijournals.com,https://saudijournals.com/media/articles/SJLS_56_90-97.pdf,"https://scholar.google.com/scholar?cites=2711698187129119874&as_sdt=2005&sciodt=0,5&hl=en",58,31/07/2021 9:58,PDF,,NA,NA,NA,NA,NA,NA,1,1,0,5,1,… 1). Previous studies have reported a female preponderance of impaired fasting glucose which consequently … is a high burden of metabolic syndrome in this young adult Nigerian population … This study was supported by a Federal Government of Nigeria postgraduate scholarship …,https://saudijournals.com/media/articles/SJLS_56_90-97.pdf,"https://scholar.google.com/scholar?q=related:guTmTSLjoSUJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1","AC Nnamudi et al. (2020) Obesity, Metabolic Abnormalities, Metabolic Syndrome and Bmi-Metabolic-Risk Sub-Phenotypes among Young Adult Nigerians. <i>Haya: Saudi j Life �</i>. ",selected,NA,selected
38,80,80,80,1865,1865,1865,ref_131,0,O Ahmed,"Prevalence of Metabolic Syndrome among Students of Faculty of Health Science and Technology in Ebonyi State University, Abakaliki, Nigeria",2019,Asian Journal of Applied Sciences (ISSN: 2321–0893),researchgate.net,https://www.researchgate.net/profile/Fasogbon-Samuel-Ayobami/publication/338224455_Prevalence_of_Metabolic_Syndrome_among_Students_of_Faculty_of_Health_Science_and_Technology_in_Ebonyi_State_University_Abakaliki_Nigeria/links/5e08e1de92851c8364a47ca9/Prevalence-of-Metabolic-Syndrome-among-Students-of-Faculty-of-Health-Science-and-Technology-in-Ebonyi-State-University-Abakaliki-Nigeria.pdf,,131,31/07/2021 6:50,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,1,2,"… fasting glucose (IFG) (> 100 mg/dl or 5.6 mmol/l) or impaired glucose tolerance (IGT), plus two … Prevalence of metabolic syndrome in a rural community in Nigeria Metabolic Syndrome and … of cardiometabolic risk factors among a rural Yoruba south-western Nigerian population: a …",https://www.researchgate.net/profile/Fasogbon-Samuel-Ayobami/publication/338224455_Prevalence_of_Metabolic_Syndrome_among_Students_of_Faculty_of_Health_Science_and_Technology_in_Ebonyi_State_University_Abakaliki_Nigeria/links/5e08e1de92851c8364a47ca9/Prevalence-of-Metabolic-Syndrome-among-Students-of-Faculty-of-Health-Science-and-Technology-in-Ebonyi-State-University-Abakaliki-Nigeria.pdf,"https://scholar.google.com/scholar?q=related:W7l8b9czSdgJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1","O Ahmed (2019) Prevalence of Metabolic Syndrome among Students of Faculty of Health Science and Technology in Ebonyi State University, Abakaliki, Nigeria. <i>Asian Journal of Applied Sciences (Issn: 2321–0893)</i>. ",selected,NA,selected
39,83,83,83,1910,1910,1910,ref_165,3,"Y Lawal, F Bello and FE Anumah and AG Bakari",Waist-height ratio: How well does it predict glucose intolerance and systemic hypertension?,2019,diabetes research and clinical …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168822719312136,"https://scholar.google.com/scholar?cites=2064018988500298984&as_sdt=2005&sciodt=0,5&hl=en",165,31/07/2021 6:50,,,NA,NA,NA,NA,NA,NA,3,1.5,1,4,2,"… In other Nigerian studies, Oguoma et al, Adejumo et al, and Akinlade et al … Zaria is a major city in Kaduna State of Northern Nigeria … The WHO criteria was used in the diagnosis of impaired fasting glucose (FPG 6.1–6.9 mmol/L), impaired glucose tolerance (2hrPPG 7.8–11.0 …",,"https://scholar.google.com/scholar?q=related:6Kw4m1XepBwJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1","Y Lawal, F Bello et al. (2019) Waist-Height Ratio: How Well Does it Predict Glucose Intolerance and Systemic Hypertension? <i>Diabetes Research and Clinical �</i>. ",selected,NA,selected
40,85,85,85,1931,1931,1931,ref_027,0,EA Haastrup and MAC Onwuama and AB Adelowo,"An Assessment of The Prevalence of Diabetes Mellitus And Its Risk Factors Among People Living In Abuja, Nigeria",2019,,ir.unilag.edu.ng,https://ir.unilag.edu.ng/handle/123456789/9358,,27,31/07/2021 6:50,,,NA,NA,NA,NA,NA,NA,0,0,0,3,2,"… of any form high blood glucose in the study population in Ogun state (Alebiosu et al., 2013), and Anambra State, Nigeria (Agu, Agu, & … As further alluded by IDF (2015), people with history of pre-diabetes (impaired glucose tolerance (IGT) or impaired fasting glucose [IFG]) or with …",https://ir.unilag.edu.ng/bitstream/handle/123456789/9358/An%20Assessment%20Of%20The%20Prevalence%20Of%20Diabetes%20Mellitus%20And%20Its%20Risk%20Factors%20Among%20People.pdf?sequence=1&isAllowed=y,"https://scholar.google.com/scholar?q=related:pvQ2BqkWSWQJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1","EA Haastrup et al. (2019) An Assessment of the Prevalence of Diabetes Mellitus and Its Risk Factors among People Living in Abuja, Nigeria. <i></i>. ",selected,NA,selected
41,88,88,88,2371,2371,2371,ref_002,15,AG Bakari and GC Onyemelukwe,Glucose intolerance among apparently healthy Hausa-Fulani northern Nigerians,2004,,researchgate.net,https://www.researchgate.net/profile/Adamu-Bakari/publication/27788874_Glucose_Intolerance_Among_Apparently_Healthy_Hausa-Fulani_Northern_Nigerians/links/548ec3ca0cf225bf66a628e6/Glucose-Intolerance-Among-Apparently-Healthy-Hausa-Fulani-Northern-Nigerians.pdf,https://scholar.google.com/scholar?cites=7447639555240643317&as_sdt=2005&sciodt=2007&hl=en,2,30/07/2021 22:37,PDF,,NA,NA,NA,NA,NA,NA,15,0.88,8,2,17,"… Bakari, Department of Medicine, A.hmadu Bello University Teaching Hospital, Zaria, Nigeria.E-mail … Objectives: To study the prevalence of glucose intolerance in apparently Nigerian subjects of … Results: Three (7.7%) of the subjects demonstrated impaired glucose tolerance (IGT …",https://www.researchgate.net/profile/Adamu-Bakari/publication/27788874_Glucose_Intolerance_Among_Apparently_Healthy_Hausa-Fulani_Northern_Nigerians/links/548ec3ca0cf225bf66a628e6/Glucose-Intolerance-Among-Apparently-Healthy-Hausa-Fulani-Northern-Nigerians.pdf,https://scholar.google.com/scholar?q=related:9UpEWbdUW2cJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=2007&as_ylo=2000&as_yhi=2008,AG Bakari et al. (2004) Glucose Intolerance among Apparently Healthy Hausa-Fulani Northern Nigerians. <i></i>. ,selected,NA,selected
42,89,89,89,2376,2376,2376,ref_008,322,"EA Nyenwe and OJ Odia and AE Ihekwaba, A Ojule…","Type 2 diabetes in adult Nigerians: a study of its prevalence and risk factors in Port Harcourt, Nigeria",2003,Diabetes research and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168822703001773,https://scholar.google.com/scholar?cites=9980286213365236216&as_sdt=2005&sciodt=2007&hl=en,8,30/07/2021 22:37,,,NA,NA,NA,NA,NA,NA,322,17.89,64,5,18,"… It is the center of the petroleum industry in Nigeria. The ethnic groups in Port Harcourt include Ikwerre, Ijaw, Ogoni and other Nigerian tribes such as Ibo, Yoruba and Hausa–Fulani … 11 people showed impaired glucose tolerance. 3.4. Prevalence of diabetes …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.493.4905&rep=rep1&type=pdf,https://scholar.google.com/scholar?q=related:-AFd6G4ZgYoJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=2007&as_ylo=2000&as_yhi=2008,"EA Nyenwe et al. (2003) Type 2 Diabetes in Adult Nigerians: a Study of Its Prevalence and Risk Factors in Port Harcourt, Nigeria. <i>Diabetes Research and �</i>. ",selected,NA,selected
43,94,94,94,2952,2952,2952,ref_012,5,ISI Ogbu and EC Azodo and AU Chinwuba,"Prevalence of pre-diabetes and unreported diabetes mellitus in population aged 45 years and above in Owerri Municipality, Imo State Nigeria",2012,International Journal of Medicine and …,ajol.info,https://www.ajol.info/index.php/jcm/article/view/97959,"https://scholar.google.com/scholar?cites=11382373052458808846&as_sdt=2005&sciodt=0,5&hl=en",12,30/07/2021 23:01,,,NA,NA,NA,NA,NA,NA,5,0.56,2,3,9,"… This study determined the prevalence of un-reported diabetes mellitus and glucose intolerance in Owerri Municipality, Imo State of Nigeria … Key words: Un-reported diabetes mellitus, impaired fasting glycaemia, impaired glucose tolerance, pre-diabetes …",,"https://scholar.google.com/scholar?q=related:DjbJHPxP9p0J:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1","ISI Ogbu et al. (2012) Prevalence of Pre-Diabetes and Unreported Diabetes Mellitus in Population Aged 45 Years and above in Owerri Municipality, Imo State Nigeria. <i>International Journal of Medicine and �</i>. ",selected,NA,selected
44,96,96,96,2980,2980,2980,ref_066,129,"MU Sani and KW Wahab and BO Yusuf, M Gbadamosi…",Modifiable cardiovascular risk factors among apparently healthy adult Nigerian population-a cross sectional study,2010,BMC research …,Springer,https://link.springer.com/article/10.1186/1756-0500-3-11,"https://scholar.google.com/scholar?cites=17309084706708195780&as_sdt=2005&sciodt=0,5&hl=en",66,30/07/2021 23:01,HTML,10.1186/1756-0500-3-11,NA,NA,NA,NA,NA,NA,129,11.73,26,5,11,"… regarding the risk factors for CVD in a sample of apparently healthy adult Nigerians, describe how … study carried out in Katsina city, in the north western region of Nigeria between March … of 1:1.05, is composed majorly of Hausa and Fulani tribes while other Nigerian tribes are …",https://link.springer.com/article/10.1186/1756-0500-3-11,"https://scholar.google.com/scholar?q=related:xAl9UtU4NvAJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1",MU Sani et al. (2010) Modifiable Cardiovascular Risk Factors among Apparently Healthy Adult Nigerian Population-a Cross Sectional Study. <i>Bmc Research �</i>. ,selected,NA,selected
45,99,99,99,3269,3269,3269,ref_465,1,OO OLATISE,"COMMUNITY BASED SCREENING FOR CHRONIC KIDNEY DISEASE AND ITS RISK FACTORS AMONGST ADULTS IN HOWLSHE, JOS.",2011,Faculty of INTERNAL MEDICINE,dissertation.npmcn.edu.ng,http://www.dissertation.npmcn.edu.ng/index.php/FMCP/article/view/587,"https://scholar.google.com/scholar?cites=8434228138076008272&as_sdt=2005&sciodt=0,5&hl=en",465,30/07/2021 23:01,,,NA,NA,NA,NA,NA,NA,1,0.1,1,1,10,"… accounted for 2 – 8% of the total hospital admissions 9, 11. In a routine screening programme conducted in Abuja, Nigeria by the Nigerian Association of Nephrology (NAN), the prevalence of proteinuria was 19% in the study population32 …",https://www.dissertation.npmcn.edu.ng/index.php/FMCP/article/download/587/613,"https://scholar.google.com/scholar?q=related:UO-fHM5lDHUJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1","OO OLATISE (2011) Community Based Screening for Chronic Kidney Disease and Its Risk Factors Amongst Adults in Howlshe, Jos. <i>Faculty of Internal Medicine</i>. ",selected,NA,selected
46,108,108,108,5161,5161,5161,ref_044,0,JC Okafor and AB Adepoju,"NUTRITIONAL STATUSAND PREVALENCE OF TYPE II DIABETES MELLITUS AMONG ELDERLY RESIDING IN ILARO, OGUN STATE, NIGERIA",2019,,eprints.federalpolyilaro.edu.ng,http://eprints.federalpolyilaro.edu.ng/1413/,,44,30/07/2021 21:44,,,NA,NA,NA,NA,NA,NA,0,0,0,2,2,"… Ilaro is situated on the rich cocoa belt of South Western region of Nigeria and endowed naturally with an expanse of land measuring about 168,750 hectares and a population of 168,850 according to the 2006 provisional census … normal prediabetes hypoglycemia diabetes …",http://eprints.federalpolyilaro.edu.ng/1413/1/NUTRITIONAL%20STATUSAND%20PREVALENCE%20OF%20TYPE%20II%20DIABETES%20MELLITUS%20AMONG%20ELDERLY%20RESIDING%20IN%20ILARO.pdf,,"JC Okafor et al. (2019) Nutritional Statusand Prevalence of Type Ii Diabetes Mellitus among Elderly Residing in Ilaro, Ogun State, Nigeria. <i></i>. ",selected,NA,selected
47,109,109,109,5163,5163,5163,ref_023,2,"EK Chuhwak and BN Okeahialam, C Ogbonna…",Diabetes in elderly Nigerians: A survey of a rural area in north-central Nigeria,2019,Journal of Medicine in …,jmedtropics.org,https://www.jmedtropics.org/article.asp?issn=2276-7096;year=2019;volume=21;issue=2;spage=51;epage=55;aulast=Chuhwak,"https://scholar.google.com/scholar?cites=9452267696281171168&as_sdt=2005&sciodt=0,5&hl=en",23,31/07/2021 6:50,HTML,,NA,NA,NA,NA,NA,NA,2,1,1,4,2,"… lifestyle is reported to be an additional factor associated with impaired glucose tolerance among Americans … of diabetes mellitus and its risk factors among the suburban population of Northwest Nigeria … E, Fakeye T. Prevalence of diabetes mellitus in a rural Nigerian population …",https://www.jmedtropics.org/article.asp?issn=2276-7096;year=2019;volume=21;issue=2;spage=51;epage=55;aulast=Chuhwak,"https://scholar.google.com/scholar?q=related:4DS9tmMzLYMJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1",EK Chuhwak et al. (2019) Diabetes in Elderly Nigerians: a Survey of a Rural Area in North-Central Nigeria. <i>Journal of Medicine in �</i>. ,selected,NA,selected
48,115,115,115,6685,6685,6685,ref_043,0,"E Eru, B Eke, C Onahinon, J Ibu, N Akwaras, A Adugba…","Relationship Between Body Mass Index, And Type 2 Diabetes Mellitus Among Adult Nigerians In Makurdi, Nigeria.",NA,researchgate.net,,https://www.researchgate.net/profile/Christian-Onahinon/publication/334509749_Relationship_Between_Body_Mass_Index_And_Type_2_Diabetes_Mellitus_Among_Adult_Nigerians_In_Makurdi_Nigeria/links/5d2efc5192851cf4408ab6fc/Relationship-Between-Body-Mass-Index-And-Type-2-Diabetes-Mellitus-Among-Adult-Nigerians-In-Makurdi-Nigeria.pdf,,43,30/07/2021 20:55,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,7,NA,"… Study Location: Makurdi metropolis the capital city of Benue State, Nigeria Study duration:February 2016 to January 2018. Study size: 5120 participants … Fig 6. showing percentage distribution of normoglycemia,prediabetes and hyperglycemia for female subjects. IV …",https://www.researchgate.net/profile/Christian-Onahinon/publication/334509749_Relationship_Between_Body_Mass_Index_And_Type_2_Diabetes_Mellitus_Among_Adult_Nigerians_In_Makurdi_Nigeria/links/5d2efc5192851cf4408ab6fc/Relationship-Between-Body-Mass-Index-And-Type-2-Diabetes-Mellitus-Among-Adult-Nigerians-In-Makurdi-Nigeria.pdf,"https://scholar.google.com/scholar?q=related:BO2Ptpy8_E0J:scholar.google.com/&scioq=prediabetes+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1","E Eru, B Eke, C Onahinon, J Ibu, N Akwaras, A Adugba… (NA) Relationship Between Body Mass Index, and Type 2 Diabetes Mellitus among Adult Nigerians in Makurdi, Nigeria. <i>Researchgate.net</i>. ",selected,NA,selected
49,116,116,116,6687,6687,6687,ref_045,16,AA Akintunde and TW Oloyede,Metabolic syndrome and occupation: Any association? Prevalence among auto technicians and school teachers in South West Nigeria,2017,… & Metabolic Syndrome: Clinical Research & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1871402116302715,"https://scholar.google.com/scholar?cites=7075936079781600522&as_sdt=2005&sciodt=0,5&hl=en",45,30/07/2021 20:55,,,NA,NA,NA,NA,NA,NA,16,4,8,2,4,… were randomly selected across two local Governments of Oyo State of Nigeria (Ogbomoso North & Ogbomoso South Local Government of Nigeria) … was defined as LDL > 3.5 mmol/l. Normal random blood sugar was defined <7.8 mmol/l while prediabetes was defined as 7.8 …,https://www.researchgate.net/profile/Taiwo-Oloyede/publication/347949819_Metabolic_syndrome_and_occupation_Any_association_Prevalence_among_auto_technicians_and_school_teachers_in_South_West_Nigeria/links/5fe9ea9a92851c13fecc3fa5/Metabolic-syndrome-and-occupation-Any-association-Prevalence-among-auto-technicians-and-school-teachers-in-South-West-Nigeria.pdf,"https://scholar.google.com/scholar?q=related:Cp3A6F_GMmIJ:scholar.google.com/&scioq=prediabetes+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1",AA Akintunde et al. (2017) Metabolic Syndrome and Occupation: any Association? Prevalence among Auto Technicians and School Teachers in South West Nigeria. <i>� & Metabolic Syndrome: Clinical Research & �</i>. ,selected,NA,selected
50,117,117,117,7089,7089,7089,ref_008,0,EM Umuerri,"Risk assessment of type 2 diabetes and validation of a non-invasive risk-prediction tool among women in an urban community in Delta State, Nigeria",2020,Journal of Community Medicine and Primary Health …,ajol.info,https://www.ajol.info/index.php/jcmphc/article/view/194175,,8,30/07/2021 21:44,,,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"… 32 (1) 47-58 Keywords American Diabetic Association Risk Tool; Prediabetes; Undiagnosed diabetes; Women, Nigeria. Page 2. 48 JOURNAL OF COMMUNITY MEDICINE AND PRIMARY HEALTH CARE VOL. 32, NO 1, MARCH 2020 between 1999 and 2016 as 5.77%.3 …",https://www.ajol.info/index.php/jcmphc/article/view/194175/183423,"https://scholar.google.com/scholar?q=related:nnR3AP2kLpgJ:scholar.google.com/&scioq=prediabetes+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1","EM Umuerri (2020) Risk Assessment of Type 2 Diabetes and Validation of a Non-Invasive Risk-Prediction Tool among Women in an Urban Community in Delta State, Nigeria. <i>Journal of Community Medicine and Primary Health �</i>. ",selected,NA,selected
